fires            2012,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),-0.07,0.21,-0.34,0.73
`Good Days`,0,0,0.36,0.72
`Unhealthy Days`,0.02,0.01,2.79,0.01
`Days NO2`,0,0,-0.8,0.43
Length,0.23,0.02,11.17,0
Area,0,0,-1.35,0.18
Visits_all,0,0,0.26,0.79
2013,,,,
(Intercept),3812.44,2926.97,1.3,0.2
`Good Days`,-16.62,12.19,-1.36,0.18
`Unhealthy Days`,166.3,123.59,1.35,0.18
`Days NO2`,211.1,80.6,2.62,0.01
Number_fires,1156.27,1158.28,1,0.32
Length,-46.19,49.99,-0.92,0.36
Area,0.03,0.03,0.87,0.39
2014,,,,
(Intercept),0.76,0.44,1.73,0.09
`Good Days`,0,0,-0.77,0.44
`Unhealthy Days`,-0.01,0.02,-0.34,0.74
`Days NO2`,0,0.01,-0.26,0.79
Length,0.03,0.01,4.87,0
Area,0,0,-0.07,0.94
Visits_all,0,0,0.56,0.58
2015,,,,
(Intercept),0.42,0.48,0.87,0.39
`Good Days`,0,0,0.2,0.84
`Unhealthy Days`,0,0.02,0.07,0.94
`Days NO2`,-0.01,0.01,-1.19,0.24
Length,0.02,0.01,2.89,0.01
Area,0,0,0.15,0.88
Visits_all,0,0,2.31,0.03
2016,,,,
(Intercept),1.11,0.42,2.64,0.01
`Good Days`,0,0,-1.88,0.07
`Unhealthy Days`,0.01,0.02,0.67,0.5
`Days NO2`,-0.02,0.01,-1.56,0.13
Length,0.02,0,5.04,0
Area,0,0,2.27,0.03
Visits_all,0,0,1.89,0.07